business_id,month,future_60d_dpd30_flag,future_60d_negative_cashflow_flag,future_60d_collection_delay_spike_flag,future_60d_cash_stress_observed
B00011,2025-12,,,,
B00011,2025-11,,,,
B00011,2025-10,0,1,0,1
B00011,2025-09,0,1,0,1
B00011,2025-08,0,1,0,1
B00011,2025-07,0,1,0,1
B00011,2025-06,0,1,0,1
B00011,2025-05,0,1,0,1
B00011,2025-04,0,1,0,1
B00011,2025-03,0,1,0,1
B00011,2025-02,0,1,0,1
B00011,2025-01,0,1,1,1
B00011,2024-12,0,1,0,1
B00011,2024-11,0,1,0,1
B00011,2024-10,0,1,0,1
B00011,2024-09,0,1,0,1
B00011,2024-08,0,1,0,1
B00011,2024-07,0,1,0,1
B00011,2024-06,0,1,0,1
B00011,2024-05,0,1,0,1
B00011,2024-04,0,1,0,1
B00011,2024-03,0,1,0,1
B00011,2024-02,0,1,0,1
B00011,2024-01,0,1,1,1
B00032,2025-12,,,,
B00032,2025-11,,,,
B00032,2025-10,0,1,0,1
B00032,2025-09,0,1,0,1
B00032,2025-08,0,1,0,1
B00032,2025-07,0,1,1,1
B00032,2025-06,0,1,0,1
B00032,2025-05,0,1,0,1
B00032,2025-04,0,1,0,1
B00032,2025-03,0,1,0,1
B00032,2025-02,0,1,0,1
B00032,2025-01,0,1,0,1
B00032,2024-12,0,1,0,1
B00032,2024-11,0,1,1,1
B00032,2024-10,0,1,0,1
B00032,2024-09,0,1,0,1
B00032,2024-08,0,1,0,1
B00032,2024-07,0,1,0,1
B00032,2024-06,0,1,0,1
B00032,2024-05,0,1,1,1
B00032,2024-04,0,1,0,1
B00032,2024-03,0,1,0,1
B00032,2024-02,0,1,0,1
B00032,2024-01,0,1,0,1
B00052,2025-12,,,,
B00052,2025-11,,,,
B00052,2025-10,0,1,0,1
B00052,2025-09,0,1,0,1
B00052,2025-08,0,1,0,1
B00052,2025-07,1,1,1,1
B00052,2025-06,1,1,0,1
B00052,2025-05,0,1,1,1
B00052,2025-04,0,1,0,1
B00052,2025-03,0,1,0,1
B00052,2025-02,0,1,0,1
B00052,2025-01,0,1,0,1
B00052,2024-12,0,1,0,1
B00052,2024-11,0,1,0,1
B00052,2024-10,0,1,0,1
B00052,2024-09,0,1,0,1
B00052,2024-08,0,1,0,1
B00052,2024-07,0,1,0,1
B00052,2024-06,0,1,0,1
B00052,2024-05,0,1,0,1
B00052,2024-04,0,1,0,1
B00052,2024-03,0,1,0,1
B00052,2024-02,0,1,0,1
B00052,2024-01,0,1,0,1
B00056,2025-12,,,,
B00056,2025-11,,,,
B00056,2025-10,0,1,0,1
B00056,2025-09,0,1,0,1
B00056,2025-08,0,1,0,1
B00056,2025-07,0,1,0,1
B00056,2025-06,0,1,0,1
B00056,2025-05,0,1,0,1
B00056,2025-04,0,1,0,1
B00056,2025-03,0,1,0,1
B00056,2025-02,0,1,1,1
B00056,2025-01,0,1,0,1
B00056,2024-12,0,1,0,1
B00056,2024-11,0,1,0,1
B00056,2024-10,0,1,0,1
B00056,2024-09,0,1,0,1
B00056,2024-08,0,1,0,1
B00056,2024-07,0,1,0,1
B00056,2024-06,0,1,0,1
B00056,2024-05,0,1,0,1
B00056,2024-04,0,1,0,1
B00056,2024-03,0,1,1,0
B00056,2024-02,0,1,0,0
B00056,2024-01,0,1,0,0
B00084,2025-12,,,,
B00084,2025-11,,,,
B00084,2025-10,0,1,0,1
B00084,2025-09,0,1,0,1
B00084,2025-08,0,1,0,1
B00084,2025-07,0,1,0,1
B00084,2025-06,1,1,0,1
B00084,2025-05,1,1,0,1
B00084,2025-04,0,1,1,1
B00084,2025-03,0,1,0,1
B00084,2025-02,0,1,0,1
B00084,2025-01,0,1,0,1
B00084,2024-12,0,1,0,1
B00084,2024-11,0,1,0,1
B00084,2024-10,0,1,0,1
B00084,2024-09,0,1,0,1
B00084,2024-08,1,1,0,1
B00084,2024-07,1,1,0,1
B00084,2024-06,0,1,0,1
B00084,2024-05,0,1,0,1
B00084,2024-04,0,1,1,1
B00084,2024-03,0,1,0,1
B00084,2024-02,0,1,0,1
B00084,2024-01,0,1,0,1
B00119,2025-12,,,,
B00119,2025-11,,,,
B00119,2025-10,0,1,0,1
B00119,2025-09,0,1,0,1
B00119,2025-08,0,1,1,1
B00119,2025-07,0,1,1,1
B00119,2025-06,0,1,0,1
B00119,2025-05,0,1,0,1
B00119,2025-04,0,1,0,1
B00119,2025-03,0,1,0,1
B00119,2025-02,0,1,1,1
B00119,2025-01,0,1,0,1
B00119,2024-12,0,1,0,1
B00119,2024-11,0,1,0,1
B00119,2024-10,0,1,0,1
B00119,2024-09,0,1,0,1
B00119,2024-08,1,1,1,1
B00119,2024-07,1,1,0,1
B00119,2024-06,0,1,0,1
B00119,2024-05,0,1,0,1
B00119,2024-04,0,1,1,1
B00119,2024-03,0,1,0,1
B00119,2024-02,0,1,0,1
B00119,2024-01,0,1,0,0
B00120,2025-12,,,,
B00120,2025-11,,,,
B00120,2025-10,0,1,0,1
B00120,2025-09,0,1,0,1
B00120,2025-08,0,1,0,1
B00120,2025-07,0,1,0,1
B00120,2025-06,0,1,0,1
B00120,2025-05,0,1,0,1
B00120,2025-04,0,1,0,1
B00120,2025-03,0,1,0,1
B00120,2025-02,0,1,1,1
B00120,2025-01,0,1,0,1
B00120,2024-12,0,1,0,1
B00120,2024-11,0,1,0,1
B00120,2024-10,0,1,0,1
B00120,2024-09,0,1,0,1
B00120,2024-08,0,1,0,1
B00120,2024-07,0,1,0,1
B00120,2024-06,0,1,0,1
B00120,2024-05,0,1,0,1
B00120,2024-04,0,1,0,1
B00120,2024-03,0,1,0,1
B00120,2024-02,0,1,0,1
B00120,2024-01,0,1,0,1
B00152,2025-12,,,,
B00152,2025-11,,,,
B00152,2025-10,0,1,1,1
B00152,2025-09,0,1,0,1
B00152,2025-08,0,1,0,1
B00152,2025-07,0,1,1,1
B00152,2025-06,0,1,0,1
B00152,2025-05,0,1,0,1
B00152,2025-04,0,1,1,1
B00152,2025-03,0,1,0,1
B00152,2025-02,0,1,0,1
B00152,2025-01,0,1,1,1
B00152,2024-12,0,1,0,1
B00152,2024-11,0,1,0,1
B00152,2024-10,0,1,0,1
B00152,2024-09,0,1,1,1
B00152,2024-08,0,1,0,1
B00152,2024-07,0,1,0,1
B00152,2024-06,0,1,0,1
B00152,2024-05,0,1,0,1
B00152,2024-04,0,1,1,1
B00152,2024-03,0,1,1,1
B00152,2024-02,0,1,0,1
B00152,2024-01,0,1,0,0
B00182,2025-12,,,,
B00182,2025-11,,,,
B00182,2025-10,0,1,0,1
B00182,2025-09,0,1,1,1
B00182,2025-08,0,1,1,1
B00182,2025-07,0,1,0,1
B00182,2025-06,0,1,0,1
B00182,2025-05,0,1,0,1
B00182,2025-04,0,1,0,1
B00182,2025-03,0,1,0,1
B00182,2025-02,0,1,0,1
B00182,2025-01,0,1,0,1
B00182,2024-12,0,1,0,1
B00182,2024-11,0,1,1,1
B00182,2024-10,0,1,0,1
B00182,2024-09,0,1,0,1
B00182,2024-08,0,1,1,1
B00182,2024-07,0,1,0,1
B00182,2024-06,0,1,0,1
B00182,2024-05,0,1,0,1
B00182,2024-04,0,1,0,1
B00182,2024-03,0,1,0,1
B00182,2024-02,0,1,0,1
B00182,2024-01,0,1,0,0
B00196,2025-12,,,,
B00196,2025-11,,,,
B00196,2025-10,0,1,0,1
B00196,2025-09,0,1,0,1
B00196,2025-08,0,1,0,1
B00196,2025-07,0,1,0,1
B00196,2025-06,0,1,0,1
B00196,2025-05,0,1,0,1
B00196,2025-04,0,1,0,1
B00196,2025-03,0,1,0,1
B00196,2025-02,0,1,0,1
B00196,2025-01,0,1,0,1
B00196,2024-12,0,1,0,1
B00196,2024-11,0,1,0,1
B00196,2024-10,0,1,1,1
B00196,2024-09,0,1,0,1
B00196,2024-08,0,1,0,1
B00196,2024-07,0,1,0,1
B00196,2024-06,0,1,0,1
B00196,2024-05,0,1,0,1
B00196,2024-04,0,1,0,1
B00196,2024-03,0,1,0,1
B00196,2024-02,0,1,0,1
B00196,2024-01,0,1,0,1
B00209,2025-12,,,,
B00209,2025-11,,,,
B00209,2025-10,0,1,0,1
B00209,2025-09,0,1,0,1
B00209,2025-08,0,1,0,1
B00209,2025-07,0,1,1,1
B00209,2025-06,0,1,0,1
B00209,2025-05,0,1,0,1
B00209,2025-04,0,1,1,1
B00209,2025-03,0,1,0,1
B00209,2025-02,0,1,0,1
B00209,2025-01,0,1,0,1
B00209,2024-12,0,1,0,1
B00209,2024-11,0,1,0,1
B00209,2024-10,0,1,0,1
B00209,2024-09,0,1,0,1
B00209,2024-08,0,1,0,1
B00209,2024-07,0,1,0,1
B00209,2024-06,0,1,1,1
B00209,2024-05,0,1,0,1
B00209,2024-04,0,1,0,1
B00209,2024-03,0,1,0,1
B00209,2024-02,0,1,0,1
B00209,2024-01,0,1,0,1
B00218,2025-12,,,,
B00218,2025-11,,,,
B00218,2025-10,0,1,0,1
B00218,2025-09,0,1,0,1
B00218,2025-08,0,1,0,1
B00218,2025-07,0,1,0,1
B00218,2025-06,0,1,0,1
B00218,2025-05,0,1,0,1
B00218,2025-04,0,1,0,1
B00218,2025-03,0,1,0,1
B00218,2025-02,0,1,0,1
B00218,2025-01,0,1,0,1
B00218,2024-12,0,1,0,1
B00218,2024-11,0,1,1,1
B00218,2024-10,0,1,0,1
B00218,2024-09,0,1,0,1
B00218,2024-08,0,1,0,1
B00218,2024-07,0,1,0,1
B00218,2024-06,0,1,0,1
B00218,2024-05,0,1,0,1
B00218,2024-04,0,1,0,1
B00218,2024-03,0,1,1,1
B00218,2024-02,0,1,1,1
B00218,2024-01,0,1,0,1
B00224,2025-12,,,,
B00224,2025-11,,,,
B00224,2025-10,0,1,0,1
B00224,2025-09,0,1,0,1
B00224,2025-08,0,1,0,1
B00224,2025-07,0,1,0,1
B00224,2025-06,0,1,1,1
B00224,2025-05,0,1,0,1
B00224,2025-04,0,1,0,1
B00224,2025-03,0,1,0,1
B00224,2025-02,0,1,0,1
B00224,2025-01,0,1,0,1
B00224,2024-12,0,1,0,1
B00224,2024-11,0,1,0,1
B00224,2024-10,0,1,0,1
B00224,2024-09,0,1,0,1
B00224,2024-08,0,1,0,1
B00224,2024-07,0,1,0,1
B00224,2024-06,0,1,0,1
B00224,2024-05,0,1,0,1
B00224,2024-04,0,1,0,1
B00224,2024-03,0,1,0,0
B00224,2024-02,0,1,0,0
B00224,2024-01,0,1,1,0
B00225,2025-12,,,,
B00225,2025-11,,,,
B00225,2025-10,0,1,0,1
B00225,2025-09,0,1,0,1
B00225,2025-08,0,1,0,1
B00225,2025-07,0,1,0,1
B00225,2025-06,0,1,0,1
B00225,2025-05,0,1,0,1
B00225,2025-04,0,1,0,1
B00225,2025-03,0,1,0,1
B00225,2025-02,0,1,0,1
B00225,2025-01,0,1,0,1
B00225,2024-12,0,1,1,1
B00225,2024-11,0,1,0,1
B00225,2024-10,0,1,0,1
B00225,2024-09,0,1,0,1
B00225,2024-08,1,1,0,1
B00225,2024-07,1,1,0,1
B00225,2024-06,0,1,0,1
B00225,2024-05,0,1,0,1
B00225,2024-04,0,1,0,1
B00225,2024-03,0,1,0,1
B00225,2024-02,0,1,0,1
B00225,2024-01,0,1,0,0
B00226,2025-12,,,,
B00226,2025-11,,,,
B00226,2025-10,0,1,1,1
B00226,2025-09,0,1,0,1
B00226,2025-08,0,1,0,1
